Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,9.640000,9.780000,8.980000,9.370000,9.370000,922100
2020-04-02,9.360000,9.550000,8.680000,8.950000,8.950000,1480000
2020-04-03,8.800000,8.960000,8.020000,8.400000,8.400000,1281200
2020-04-06,8.800000,9.930000,8.738000,9.700000,9.700000,782100
2020-04-07,10.090000,10.410000,9.360000,9.490000,9.490000,906300
2020-04-08,10.040000,11.160000,9.530000,11.050000,11.050000,990300
2020-04-09,11.080000,11.344000,10.670000,10.760000,10.760000,769800
2020-04-13,10.700000,10.750000,10.310000,10.570000,10.570000,612400
2020-04-14,10.780000,11.440000,10.660000,11.430000,11.430000,1023500
2020-04-15,11.070000,11.130000,10.560000,10.620000,10.620000,591800
2020-04-16,10.500000,10.630000,9.730000,9.950000,9.950000,630500
2020-04-17,10.250000,10.590000,9.920000,10.390000,10.390000,1469200
2020-04-20,10.220000,10.780000,9.970000,10.520000,10.520000,790500
2020-04-21,10.180000,10.640000,10.050000,10.550000,10.550000,533700
2020-04-22,10.610000,10.950000,10.550000,10.860000,10.860000,867700
2020-04-23,10.920000,11.290000,10.900000,11.200000,11.200000,706800
2020-04-24,11.110000,11.430000,10.570000,10.670000,10.670000,1947600
2020-04-27,10.710000,11.490000,10.670000,11.310000,11.310000,966400
2020-04-28,11.490000,12.800000,11.490000,12.500000,12.500000,1314200
2020-04-29,12.790000,13.250000,12.610000,13.170000,13.170000,1187500
2020-04-30,13.030000,13.180000,12.410000,13.070000,13.070000,902500
2020-05-01,12.640000,13.120000,12.350000,12.500000,12.500000,761800
2020-05-04,12.190000,12.580000,12.100000,12.470000,12.470000,364000
2020-05-05,12.680000,13.090000,12.540000,12.700000,12.700000,919500
2020-05-06,12.740000,12.920000,12.400000,12.560000,12.560000,446800
2020-05-07,12.720000,13.030000,12.700000,12.990000,12.990000,557300
2020-05-08,13.270000,13.620000,13.130000,13.480000,13.480000,448200
2020-05-11,13.430000,13.680000,13.170000,13.550000,13.550000,652900
2020-05-12,13.600000,14.460000,13.520000,13.870000,13.870000,1026800
2020-05-13,13.780000,13.920000,12.700000,12.870000,12.870000,764900
2020-05-14,12.620000,13.040000,12.300000,13.030000,13.030000,646100
2020-05-15,12.960000,14.160000,12.825000,13.780000,13.780000,891900
2020-05-18,14.150000,14.940000,13.960000,14.840000,14.840000,1160900
2020-05-19,14.700000,14.860000,13.920000,13.930000,13.930000,737500
2020-05-20,14.240000,14.700000,14.100000,14.220000,14.220000,550500
2020-05-21,14.280000,14.614000,14.030000,14.430000,14.430000,924900
2020-05-22,15.870000,16.990000,15.360000,16.860001,16.860001,2784400
2020-05-26,17.580000,17.629999,16.450001,16.680000,16.680000,1381800
2020-05-27,16.990000,17.549999,16.570000,17.299999,17.299999,1099800
2020-05-28,17.350000,17.514000,16.490000,16.570000,16.570000,806300
2020-05-29,16.500000,17.170000,16.365999,17.139999,17.139999,940900
2020-06-01,17.379999,17.572001,16.695000,16.750000,16.750000,777500
